,date,open,high,low,close,volume,outstanding_share,turnover
257,2006-01-25,838.2,847.16,837.47,846.99,684300100.0,224181996.0,3.0524311149410948
258,2006-02-06,849.51,861.43,849.37,861.07,920965600.0,224181996.0,4.108115800699713
259,2006-02-07,861.67,863.96,848.49,856.67,1163391100.0,224181996.0,5.189493896735579
260,2006-02-08,856.94,863.44,854.17,862.58,1139878800.0,224181996.0,5.08461348519709
261,2006-02-09,862.05,862.05,848.78,850.8,861723400.0,224181996.0,3.843856399601331
262,2006-02-10,850.93,860.3,848.43,859.97,680595800.0,224181996.0,3.035907486522691
263,2006-02-13,862.49,863.21,852.59,859.6,625776300.0,224181996.0,2.7913762530689574
264,2006-02-14,859.97,863.07,857.16,862.65,473859600.0,224181996.0,2.113727277189556
265,2006-02-15,865.22,872.41,864.77,868.02,949085600.0,224181996.0,4.233549602261548
266,2006-02-16,869.13,869.13,854.08,856.05,914574300.0,224181996.0,4.0796063748134355
267,2006-02-17,855.7,864.62,853.15,857.99,688340000.0,224181996.0,3.070451741361068
268,2006-02-20,858.65,865.69,856.76,857.97,570599900.0,224181996.0,2.5452530095235657
269,2006-02-21,857.65,872.74,854.36,872.56,933467400.0,224181996.0,4.163882098721255
270,2006-02-22,873.37,878.22,868.16,870.1,1002999600.0,224181996.0,4.474041706721176
271,2006-02-23,870.51,877.9,866.76,877.65,649082000.0,224181996.0,2.8953350919402108
272,2006-02-24,878.11,883.02,877.4,882.78,647549800.0,224181996.0,2.888500466380003
273,2006-02-27,893.21,894.83,886.83,887.62,1098005500.0,224181996.0,4.897830867738371
274,2006-02-28,886.79,893.49,874.69,892.9,754223500.0,224181996.0,3.3643357337223456
275,2006-03-01,893.49,897.1,891.21,895.63,728015100.0,224181996.0,3.2474289326962724
276,2006-03-02,890.67,891.76,873.27,876.62,909894500.0,224181996.0,4.058731371095473
277,2006-03-03,876.43,880.83,869.84,880.37,841666900.0,224181996.0,3.754391142096888
278,2006-03-06,880.11,884.21,876.62,879.33,769250800.0,224181996.0,3.431367432378468
279,2006-03-07,879.29,879.33,860.45,861.86,737837200.0,224181996.0,3.2912419960789356
280,2006-03-08,860.12,862.1,852.23,859.32,675409100.0,224181996.0,3.012771373487102
281,2006-03-09,856.31,859.94,852.09,853.38,451332000.0,224181996.0,2.013239279036484
282,2006-03-10,853.94,860.49,853.48,857.14,420112100.0,224181996.0,1.8739778728707546
283,2006-03-13,857.21,864.95,856.74,863.68,404203400.0,224181996.0,1.803014547162833
284,2006-03-14,864.45,866.02,855.82,860.87,427555900.0,224181996.0,1.907182144992589
285,2006-03-15,860.7,868.58,859.81,868.32,501933300.0,224181996.0,2.2389545501236414
286,2006-03-16,868.07,869.1,864.5,865.72,521240500.0,224181996.0,2.3250774339612894
287,2006-03-17,865.24,866.94,859.3,863.27,515616100.0,224181996.0,2.29998888938432
288,2006-03-20,863.56,875.55,858.96,875.13,583775400.0,224181996.0,2.6040244552020138
289,2006-03-21,875.02,881.28,872.89,875.23,619565000.0,224181996.0,2.763669746253843
290,2006-03-22,875.1,876.52,869.65,875.82,503065000.0,224181996.0,2.2440026807505093
291,2006-03-23,875.34,875.92,869.08,875.11,652849200.0,224181996.0,2.912139295967371
292,2006-03-24,874.71,876.52,867.92,869.44,644229500.0,224181996.0,2.873689731980083
293,2006-03-27,869.54,872.56,864.39,872.56,592346100.0,224181996.0,2.642255446775485
294,2006-03-28,872.76,877.29,871.39,874.77,638420800.0,224181996.0,2.8477790874874715
295,2006-03-29,879.92,891.02,878.75,885.29,1103253000.0,224181996.0,4.921238188993553
296,2006-03-30,885.15,889.37,877.41,877.78,728205400.0,280244438.0,2.598465129930607
297,2006-03-31,876.27,879.55,873.59,878.37,669675400.0,280244438.0,2.389611743159734
298,2006-04-03,879.54,891.6,879.54,891.56,780656800.0,280244438.0,2.7856281665079825
299,2006-04-04,892.4,901.04,890.9,900.84,960805700.0,280244438.0,3.4284559110500528
300,2006-04-05,901.68,908.07,900.67,906.3,956086600.0,280244438.0,3.4116166830044277
301,2006-04-06,907.15,910.54,900.36,901.65,977617600.0,280244438.0,3.4884460400958965
302,2006-04-07,901.48,903.17,891.39,897.31,900483600.0,280244438.0,3.2132077497288276
303,2006-04-10,898.0,909.53,896.14,909.28,868073500.0,280244438.0,3.097558353682652
304,2006-04-11,909.92,916.27,906.15,912.39,1012604500.0,280244438.0,3.6132902662639106
305,2006-04-12,912.68,914.1,907.81,908.95,786684600.0,280244438.0,2.8071372463777498
306,2006-04-13,908.25,911.47,891.54,892.13,896707900.0,280244438.0,3.199734868600675
307,2006-04-14,889.76,910.82,889.76,910.63,1054715000.0,280244438.0,3.763553730190356
308,2006-04-17,915.54,924.96,908.7,921.21,1402948600.0,280244438.0,5.006160372039212
309,2006-04-18,924.93,931.96,916.76,927.48,1103404000.0,280244438.0,3.937291344208587
310,2006-04-19,932.47,937.04,922.81,930.83,1251428900.0,280244438.0,4.465490587185177
311,2006-04-20,931.44,934.45,916.94,922.05,1238121100.0,280244438.0,4.41800418533195
312,2006-04-21,921.86,942.23,919.46,939.87,1388164000.0,280244438.0,4.95340428486934
313,2006-04-24,949.68,955.87,933.85,940.9,1639260200.0,280244438.0,5.849394234900034
314,2006-04-25,938.24,938.36,924.45,931.32,1099197200.0,280244438.0,3.922280163148144
315,2006-04-26,930.68,950.29,928.92,948.21,1314202700.0,280244438.0,4.689487182614486
316,2006-04-27,949.49,953.39,939.05,943.34,925096400.0,280244438.0,3.3010339352390643
317,2006-04-28,939.5,966.32,934.06,964.45,1480795100.0,280244438.0,5.283941085746009
318,2006-05-08,968.92,996.91,968.92,996.24,1614747900.0,280244438.0,5.761926664892454
319,2006-05-09,999.11,1019.64,995.26,1017.62,1843125300.0,280244438.0,6.576848815104762
320,2006-05-10,1021.32,1029.41,1008.49,1023.0,1572220100.0,280244438.0,5.6101741437594566
321,2006-05-11,1022.24,1042.78,1012.56,1012.9,1764740400.0,280244438.0,6.297146921431497
322,2006-05-12,1015.39,1051.12,1012.27,1050.96,1802125300.0,280244438.0,6.430547963274832
323,2006-05-15,1059.77,1086.35,1049.94,1086.0,2383300300.0,280244438.0,8.50436253796409
324,2006-05-16,1096.24,1117.43,1068.72,1079.7,2563467800.0,280244438.0,9.147256653136502
325,2006-05-17,1079.36,1097.2,1058.8,1080.96,1746396900.0,280244438.0,6.231691563491441
326,2006-05-18,1069.44,1076.43,1046.89,1068.2,1546964000.0,280244438.0,5.520052462200874
327,2006-05-19,1072.16,1101.62,1068.37,1096.21,2781155200.0,280244438.0,9.92403353246925
328,2006-05-22,1096.45,1107.66,1089.42,1095.57,2367166200.0,280244438.0,8.446791011780936
329,2006-05-23,1088.08,1088.08,1055.16,1058.99,2121343800.0,280244438.0,7.5696196332717225
330,2006-05-24,1062.89,1081.43,1035.46,1055.81,1678894300.0,280244438.0,5.990821127375952
331,2006-05-25,1056.54,1060.84,1034.22,1050.7,1144062000.0,280244438.0,4.082371832835448
332,2006-05-26,1053.58,1065.28,1049.29,1064.13,1272654400.0,280244438.0,4.54122982451484
333,2006-05-29,1069.88,1090.59,1063.23,1090.57,1419688400.0,280244438.0,5.065893225684643
334,2006-05-30,1098.46,1099.66,1083.47,1092.25,1273744900.0,280244438.0,4.54512107034217
335,2006-05-31,1091.39,1093.68,1070.9,1078.86,1315424800.0,280244438.0,4.693848018493056
336,2006-06-01,1076.79,1107.18,1073.49,1106.23,1657681000.0,280244438.0,5.915125423470492
