,date,open,high,low,close,volume
308,2010-12-05,2008.98,2023.86,1943.39,2008.12,9952049100.0
309,2010-12-12,2016.11,2056.06,1985.18,2021.65,11481952400.0
310,2010-12-19,2027.45,2084.19,2021.81,2032.14,13170246300.0
311,2010-12-26,2039.29,2057.98,1969.98,2013.25,11966225800.0
312,2011-01-02,2028.55,2045.24,1925.23,1977.37,11639217600.0
313,2011-01-09,1994.36,2035.88,1969.32,2006.37,12227772600.0
314,2011-01-16,2001.4,2026.15,1968.22,1982.62,12182102000.0
315,2011-01-23,1968.95,1978.14,1890.76,1925.84,11529138000.0
316,2011-01-30,1926.39,1954.92,1899.06,1945.14,11437242200.0
317,2011-02-06,1944.74,1972.99,1941.08,1968.69,4005475800.0
318,2011-02-13,1958.25,1982.39,1932.13,1976.47,6512322400.0
319,2011-02-20,1976.28,2070.94,1976.28,2030.32,17585696200.0
320,2011-02-27,2019.56,2053.33,1981.19,2006.66,13508048000.0
321,2011-03-06,2009.08,2083.3,1990.58,2080.14,16609681000.0
322,2011-03-13,2092.32,2139.24,2044.0,2049.11,15254228400.0
323,2011-03-20,2045.67,2056.91,1989.65,2034.48,11959581800.0
324,2011-03-27,2040.1,2105.18,2022.68,2096.29,11740825000.0
325,2011-04-03,2105.09,2130.06,2076.54,2126.45,15167387200.0
326,2011-04-10,2130.08,2187.55,2130.08,2185.32,11493372000.0
327,2011-04-17,2191.93,2214.84,2146.07,2201.09,16963273200.0
328,2011-04-24,2192.29,2214.52,2134.84,2151.67,12593265800.0
329,2011-05-01,2147.59,2150.8,2084.65,2113.87,11613551000.0
330,2011-05-08,2111.23,2117.83,2021.98,2037.75,7864370000.0
331,2011-05-15,2041.35,2062.9,2012.38,2043.26,6956967900.0
332,2011-05-22,2036.32,2065.96,2009.56,2052.54,6796551000.0
333,2011-05-29,2047.77,2047.77,1969.74,1976.69,7423850000.0
334,2011-06-05,1974.54,2011.31,1943.97,1974.95,7616073600.0
335,2011-06-12,1968.17,1986.12,1930.34,1951.03,5324131200.0
336,2011-06-19,1936.06,1977.13,1910.99,1912.38,7782573300.0
337,2011-06-26,1910.28,2009.96,1896.98,1997.3,9214731200.0
338,2011-07-03,1994.99,2007.78,1959.56,1986.03,10078192200.0
339,2011-07-10,1996.26,2040.09,1996.26,2014.73,12209801200.0
340,2011-07-17,2006.07,2015.5,1966.47,2012.03,9869152200.0
341,2011-07-24,2013.46,2014.71,1959.76,1964.83,8320181500.0
342,2011-07-31,1954.32,1955.19,1885.62,1908.21,9135159700.0
343,2011-08-07,1905.9,1919.88,1841.01,1850.14,6563256300.0
344,2011-08-14,1832.66,1850.0,1741.1,1838.16,11774582000.0
345,2011-08-21,1842.12,1886.24,1792.46,1806.28,8039164100.0
346,2011-08-28,1808.06,1879.61,1782.97,1876.33,8909988900.0
347,2011-09-04,1856.74,1871.64,1811.27,1820.68,6972902700.0
348,2011-09-11,1805.88,1827.47,1770.37,1800.93,5748695200.0
349,2011-09-18,1775.22,1799.11,1753.56,1784.93,4669832800.0
350,2011-09-25,1772.29,1814.55,1714.21,1740.32,7592127000.0
351,2011-10-02,1724.03,1743.79,1678.42,1684.5,6838543500.0
352,2011-10-09,,,,,0.0
353,2011-10-16,1688.41,1751.29,1657.35,1745.21,9243102800.0
354,2011-10-23,1748.08,1770.26,1660.89,1676.1,6921360500.0
355,2011-10-30,1683.71,1827.02,1677.72,1807.06,11755930800.0
356,2011-11-06,1802.84,1843.95,1767.07,1831.76,10667410400.0
357,2011-11-13,1822.94,1831.18,1773.25,1779.51,7614087000.0
358,2011-11-20,1795.81,1820.18,1716.7,1720.76,7131444000.0
359,2011-11-27,1722.91,1726.66,1685.9,1691.67,4580761000.0
360,2011-12-04,1698.3,1745.93,1657.63,1704.46,7034823200.0
361,2011-12-11,1708.96,1716.27,1681.59,1692.06,4888451800.0
362,2011-12-18,1689.72,1692.53,1594.29,1629.0,5556381200.0
363,2011-12-25,1615.95,1646.73,1584.15,1617.94,6344198200.0
364,2012-01-01,1608.52,1621.94,1571.51,1617.61,5521064900.0
365,2012-01-08,1628.17,1631.26,1588.6,1608.36,4477104200.0
366,2012-01-15,1608.49,1717.8,1598.39,1685.91,10387332400.0
367,2012-01-22,1676.14,1779.0,1649.04,1775.09,10325650700.0
368,2012-01-29,,,,,0.0
369,2012-02-05,1778.14,1780.22,1709.54,1772.19,8195190100.0
370,2012-02-12,1775.44,1800.03,1721.85,1778.32,9683954400.0
371,2012-02-19,1757.02,1786.48,1747.83,1765.65,7809108100.0
372,2012-02-26,1790.39,1827.04,1756.41,1826.72,11119235300.0
373,2012-03-04,1833.44,1851.36,1813.45,1843.85,11962366900.0
374,2012-03-11,1847.45,1850.25,1774.51,1811.49,10371405200.0
375,2012-03-18,1810.1,1831.86,1754.06,1780.08,12066153000.0
376,2012-03-25,1775.96,1781.08,1741.53,1747.92,9699515000.0
377,2012-04-01,1747.85,1760.75,1681.97,1705.63,7384988500.0
378,2012-04-08,1698.74,1739.89,1691.48,1737.51,3880537700.0
379,2012-04-15,1730.45,1785.45,1702.95,1777.07,7823964000.0
380,2012-04-22,1767.67,1816.36,1748.76,1815.88,8631231400.0
381,2012-04-29,1812.93,1832.84,1784.26,1822.54,10215922700.0
382,2012-05-06,1846.86,1877.42,1836.27,1876.66,7282292600.0
383,2012-05-13,1864.38,1871.39,1814.87,1815.73,10180367700.0
384,2012-05-20,1827.51,1829.48,1771.28,1775.57,8353112700.0
385,2012-05-27,1775.29,1815.96,1770.83,1776.38,7240962800.0
386,2012-06-03,1771.69,1827.63,1763.69,1808.53,8344052700.0
387,2012-06-10,1790.69,1791.61,1736.08,1738.59,7490036900.0
388,2012-06-17,1741.18,1775.57,1734.81,1769.49,7268351000.0
389,2012-06-24,1778.09,1785.78,1730.21,1735.34,4592090100.0
390,2012-07-01,1729.1,1729.46,1675.52,1708.86,6031660900.0
391,2012-07-08,1715.96,1723.07,1681.04,1711.58,6708337800.0
392,2012-07-15,1699.41,1708.19,1651.25,1685.02,7314556500.0
393,2012-07-22,1688.78,1688.78,1642.12,1658.3,6297728300.0
394,2012-07-29,1646.76,1646.76,1620.93,1630.31,5344729600.0
395,2012-08-05,1633.48,1651.97,1622.69,1641.6,5855998700.0
396,2012-08-12,1639.76,1675.52,1638.1,1665.18,6355174700.0
397,2012-08-19,1661.6,1661.6,1595.24,1606.0,5519836300.0
398,2012-08-26,1594.06,1609.99,1582.71,1588.11,5456168400.0
399,2012-09-02,1583.91,1583.91,1542.24,1551.2,6360569900.0
400,2012-09-09,1547.77,1634.69,1531.11,1619.21,9321392800.0
401,2012-09-16,1620.36,1628.64,1593.36,1614.7,8694658800.0
402,2012-09-23,1612.55,1615.22,1535.61,1545.96,6958282000.0
403,2012-09-30,1534.65,1616.38,1528.58,1613.09,7563569500.0
404,2012-10-07,,,,,0.0
405,2012-10-14,1611.64,1636.41,1588.0,1618.66,6846114000.0
406,2012-10-21,1620.05,1643.48,1603.28,1637.76,5871881600.0
407,2012-10-28,1628.18,1648.08,1577.72,1584.7,6318515100.0
408,2012-11-04,1581.23,1628.83,1566.95,1626.61,7204216700.0
409,2012-11-11,1623.76,1634.79,1587.79,1591.85,6714220500.0
410,2012-11-18,1592.86,1601.29,1542.53,1551.56,5828583600.0
411,2012-11-25,1550.25,1574.48,1533.51,1568.75,4749881700.0
412,2012-12-02,1565.64,1569.36,1529.03,1547.76,5598056500.0
413,2012-12-09,1544.59,1637.54,1528.28,1634.92,11565602100.0
414,2012-12-16,1642.08,1728.82,1634.63,1728.06,13478220700.0
415,2012-12-23,1732.9,1769.77,1725.56,1737.99,14908368200.0
416,2012-12-30,1733.41,1819.65,1731.84,1817.85,13227157800.0
417,2013-01-06,1821.98,1899.88,1821.98,1870.5,7208663600.0
418,2013-01-13,1865.06,1892.13,1810.84,1818.98,13054733200.0
419,2013-01-20,1811.32,1907.65,1811.07,1886.79,14909608200.0
420,2013-01-27,1890.85,1961.98,1871.67,1886.45,16959987000.0
421,2013-02-03,1890.88,2058.05,1890.88,2055.72,20410969600.0
422,2013-02-10,2068.02,2088.45,2014.75,2042.42,21866981600.0
423,2013-02-17,,,,,0.0
424,2013-02-24,2051.92,2055.41,1876.32,1883.48,16413417600.0
425,2013-03-03,1893.44,1963.6,1863.01,1944.42,15991712600.0
426,2013-03-10,1904.43,1943.93,1828.55,1901.48,18084081600.0
427,2013-03-17,1895.05,1900.36,1815.37,1841.32,12875473000.0
428,2013-03-24,1829.39,1913.27,1805.56,1904.46,13525206400.0
429,2013-03-31,1913.79,1927.37,1774.92,1793.19,14674710600.0
430,2013-04-07,1781.79,1805.74,1771.37,1789.67,5852256200.0
431,2013-04-14,1755.76,1808.28,1747.66,1774.5,8712386900.0
432,2013-04-21,1768.21,1836.61,1739.22,1827.98,10691900900.0
433,2013-04-28,1820.03,1830.99,1755.44,1766.04,10453998500.0
434,2013-05-05,1758.38,1821.38,1745.57,1795.49,4248787400.0
435,2013-05-12,1804.89,1842.13,1794.42,1819.12,9829006400.0
436,2013-05-19,1819.56,1849.88,1770.41,1843.81,10007543000.0
437,2013-05-26,1848.32,1877.27,1814.57,1829.14,10524038800.0
438,2013-06-02,1825.22,1882.75,1821.16,1841.37,11258167400.0
439,2013-06-09,1840.4,1854.38,1755.6,1760.22,8426186500.0
440,2013-06-16,1733.14,1733.14,1679.66,1704.15,4364897000.0
441,2013-06-23,1709.48,1712.94,1598.47,1633.16,8435995100.0
442,2013-06-30,1625.44,1625.44,1422.98,1552.38,15995030000.0
443,2013-07-07,1539.78,1556.59,1501.08,1542.05,10994412000.0
444,2013-07-14,1518.88,1653.59,1497.5,1587.59,14650488100.0
445,2013-07-21,1599.04,1631.99,1508.28,1511.4,11622252800.0
446,2013-07-28,1493.99,1569.74,1485.06,1521.61,10049630800.0
447,2013-08-04,1505.68,1558.83,1478.2,1536.5,9185748700.0
448,2013-08-11,1540.49,1575.69,1533.0,1553.04,9315999500.0
449,2013-08-18,1560.16,1711.43,1557.56,1592.79,15913349600.0
450,2013-08-25,1576.57,1628.68,1543.0,1566.29,11139211800.0
451,2013-09-01,1573.22,1609.06,1566.02,1589.78,11440952800.0
452,2013-09-08,1594.99,1630.3,1579.72,1625.85,11228994400.0
453,2013-09-15,1643.18,1798.96,1643.18,1749.24,28332202400.0
454,2013-09-22,1763.92,1765.47,1680.68,1700.59,11790722000.0
455,2013-09-29,1707.9,1716.09,1624.88,1639.15,13682415000.0
456,2013-10-06,1648.15,1653.24,1634.93,1643.06,1717054000.0
457,2013-10-13,1637.98,1673.04,1622.59,1669.27,10591274000.0
458,2013-10-20,1670.73,1671.51,1625.47,1636.8,11568212000.0
459,2013-10-27,1640.28,1670.0,1601.66,1611.52,11767983200.0
460,2013-11-03,1614.68,1655.93,1600.8,1644.75,12693604500.0
461,2013-11-10,1654.11,1659.76,1585.62,1587.44,8762915700.0
462,2013-11-17,1587.59,1622.85,1559.57,1604.82,9868718200.0
463,2013-11-24,1618.16,1676.87,1610.04,1642.5,15076813400.0
464,2013-12-01,1633.84,1680.82,1627.89,1661.41,11163548800.0
465,2013-12-08,1662.39,1709.58,1655.0,1675.26,15650456800.0
466,2013-12-15,1681.21,1687.53,1614.97,1626.41,9644433200.0
467,2013-12-22,1627.1,1631.09,1534.1,1537.41,9212807800.0
468,2013-12-29,1541.37,1559.82,1522.59,1550.22,8082042400.0
469,2014-01-05,1557.51,1578.24,1529.15,1536.07,7911697900.0
470,2014-01-12,1534.5,1534.5,1493.5,1498.27,9138819800.0
471,2014-01-19,1500.86,1510.32,1470.86,1475.67,8494071100.0
472,2014-01-26,1472.39,1514.97,1459.45,1502.06,8601861400.0
473,2014-02-02,1491.82,1498.58,1475.5,1477.34,6152598500.0
474,2014-02-09,1467.36,1475.72,1458.49,1475.34,1382621000.0
475,2014-02-16,1480.6,1548.62,1480.52,1534.24,13877618000.0
476,2014-02-23,1545.18,1556.42,1496.09,1505.33,14423040000.0
477,2014-03-02,1492.28,1492.28,1429.61,1464.32,13671748400.0
478,2014-03-09,1459.86,1472.08,1435.94,1455.58,12513340200.0
479,2014-03-16,1442.98,1451.29,1403.28,1426.4,11306701400.0
480,2014-03-23,1435.27,1468.94,1402.18,1464.08,11301436200.0
481,2014-03-30,1468.81,1486.85,1450.45,1472.05,13927517800.0
482,2014-04-06,1473.15,1504.54,1457.83,1490.33,10149110900.0
483,2014-04-13,1488.65,1587.62,1488.06,1565.31,15391064800.0
484,2014-04-20,1562.19,1568.52,1503.64,1521.28,9984662500.0
485,2014-04-27,1510.18,1526.02,1487.77,1501.05,9806917300.0
486,2014-05-04,1499.68,1505.11,1478.51,1494.81,5721554800.0
487,2014-05-11,1490.1,1499.74,1471.65,1480.74,8567896800.0
488,2014-05-18,1492.63,1513.12,1480.83,1487.74,9318849000.0
489,2014-05-25,1482.04,1493.18,1447.94,1484.38,6750566800.0
490,2014-06-01,1493.34,1497.68,1474.85,1482.1,6805700200.0
491,2014-06-08,1482.44,1491.04,1459.53,1472.27,5148009900.0
492,2014-06-15,1466.64,1509.02,1466.15,1502.96,8139213200.0
493,2014-06-22,1503.66,1521.96,1473.67,1484.48,8634746000.0
494,2014-06-29,1483.66,1489.31,1466.4,1473.76,6679065300.0
495,2014-07-06,1475.72,1495.04,1475.72,1492.46,8152167300.0
496,2014-07-13,1493.07,1497.72,1460.91,1468.54,8321426100.0
497,2014-07-20,1468.69,1490.19,1464.75,1478.76,10333092500.0
498,2014-07-27,1478.72,1557.58,1474.8,1557.02,14569696400.0
499,2014-08-03,1566.33,1639.32,1566.33,1607.97,23681991200.0
500,2014-08-10,1614.9,1646.32,1586.09,1595.66,17456237200.0
501,2014-08-17,1601.3,1621.71,1593.22,1612.0,13818517400.0
502,2014-08-24,1614.22,1623.9,1576.32,1594.18,13003087600.0
503,2014-08-31,1594.71,1595.44,1563.4,1581.28,10934513900.0
504,2014-09-07,1582.02,1657.6,1576.22,1656.24,16979390400.0
505,2014-09-14,1657.61,1660.01,1614.54,1630.2,12489048400.0
506,2014-09-21,1625.87,1629.69,1596.54,1619.58,17860451600.0
507,2014-09-28,1613.81,1636.22,1580.97,1616.09,16303888800.0
508,2014-10-05,1621.09,1627.19,1613.79,1619.7,7258466400.0
509,2014-10-12,1625.26,1639.17,1614.5,1621.71,11598063200.0
510,2014-10-19,1614.2,1629.09,1592.7,1608.52,19441349600.0
511,2014-10-26,1613.8,1615.39,1580.71,1583.42,14918217200.0
512,2014-11-02,1572.89,1665.46,1556.54,1657.29,22568679600.0
