上榜时间,股票代码,股票名称,现价,涨跌幅,成交额,上榜涨幅,榜间涨幅
2024-06-03 13:29:13,300408,三环集团,29.28,0.65,19487.76,-1.21,-0.14
2024-06-03 13:33:28,300458,全志科技,21.47,3.47,92920.22,0.24,1.01
2024-06-03 13:33:28,300408,三环集团,29.35,0.89,20145.15,-0.97,0.24
2024-06-03 13:33:28,002463,沪电股份,33.63,7.62,201403.55,1.60,0.00
2024-06-03 13:33:28,002938,鹏鼎控股,30.39,1.64,42096.86,0.37,0.00
2024-06-03 13:33:28,300661,圣邦股份,78.91,1.73,15688.65,-0.55,-0.06
2024-06-03 13:33:28,600171,上海贝岭,16.91,1.56,162998.56,0.30,-0.66
2024-06-03 13:37:52,002938,鹏鼎控股,30.35,1.51,43039.34,0.24,-0.06
2024-06-03 13:37:52,300408,三环集团,29.33,0.83,20544.43,-1.03,-0.06
2024-06-03 13:37:52,002463,沪电股份,33.67,7.74,202824.22,1.72,-0.10
2024-06-03 13:37:52,300661,圣邦股份,78.83,1.62,16404.05,-0.66,-0.11
2024-06-03 13:37:52,600171,上海贝岭,16.86,1.26,164537.17,0.00,-0.30
2024-06-03 13:37:52,300458,全志科技,21.35,2.89,93978.92,-0.34,-0.58
2024-06-03 13:42:04,601919,中远海控,16.1,7.05,345371.43,1.27,1.40
2024-06-03 13:42:04,002463,沪电股份,33.56,7.39,203754.05,1.37,0.00
2024-06-03 13:42:04,002938,鹏鼎控股,30.38,1.61,43392.81,0.34,0.00
2024-06-03 13:42:04,300458,全志科技,21.33,2.8,94631.12,-0.43,-0.09
2024-06-03 13:42:04,300408,三环集团,29.3,0.72,20780.37,-1.14,-0.11
2024-06-03 13:42:04,600171,上海贝岭,16.81,0.96,165256.83,-0.30,-0.30
2024-06-03 13:46:19,600171,上海贝岭,16.96,1.86,166191.93,0.60,0.90
2024-06-03 13:46:19,601919,中远海控,16.11,7.11,347129.44,1.33,0.06
2024-06-03 13:46:19,300408,三环集团,29.29,0.69,21097.93,-1.17,-0.03
2024-06-03 13:46:19,002463,沪电股份,33.48,7.14,204707.15,1.12,-0.03
2024-06-03 13:46:19,002938,鹏鼎控股,30.37,1.57,43746.57,0.30,-0.04
